Round,Exp No,s,f,d,Mean,Std.dev,Skewness,Kurtosis,mean_trend,sd_trend,skew_trend,ks_trend,entry_range_trend
1,1,58.9,0.15,0.75,486.4575712,10.4189289,-0.035961044,3.000428689,-0.015236938,-0.00034509,-0.000572079,1.06E-05,0.025943704
1,2,84.82,0.2,0.5,457.5531111,13.58875906,-0.381452201,5.886693625,-0.007526653,-0.006261227,0.001040134,-0.005316233,0.014291506
1,3,117.8,0.25,0.75,748.0810419,20.28564494,-0.096746007,3.581650251,-0.000211512,0.011252409,0.000476238,-0.000114348,0.123724257
1,4,84.82,0.2,0.5,409.0852378,12.69399561,0.037417256,2.967078318,0.035423572,0.00403188,-0.0002186,0.000274446,0.294844495
1,5,117.8,0.15,0.25,205.3120236,6.343003768,0.109298553,3.246628487,0.012726542,0.003160447,0.00047371,0.001558483,0.193552
1,6,58.9,0.25,0.25,242.1503158,6.516990803,0.026320293,2.950416665,-0.008314644,0.003592635,0.000122125,0.000119205,0.000802754
1,7,58.9,0.15,0.75,550.3982315,11.73209173,0.009605394,2.965092202,0.003327999,0.004595839,0.000195155,-0.000240286,0.072532352
1,8,117.8,0.25,0.75,789.6822474,23.00484031,-0.369851902,6.099642318,0.044747339,-0.000945143,0.00100419,-0.006090354,0.683427688
1,9,58.9,0.25,0.25,211.7918528,6.860188272,0.043921585,3.02124725,0.042195516,0.003134253,7.18E-06,9.68E-05,0.152407603
1,10,117.8,0.15,0.25,177.8826104,5.929684424,0.055666904,3.163864815,0.004437045,0.001968202,0.000209593,0.001707771,0.126073373
2,1,235.62,0.3,0.25,261.7379515,10.83279544,-0.492579136,16.33800655,0.004264361,0.019072024,-0.002018361,0.008608135,0.310904217
2,2,235.62,0.3,0.25,270.3402016,9.533065109,0.117357484,3.177195522,-0.010179962,0.017861724,-0.001399551,0.000713298,0.359088481
2,3,84.82,0.3,0.25,280.561981,8.451899991,0.050401776,2.994459593,0.039201976,0.00261388,-0.000196793,0.001139192,0.132172372
2,4,117.8,0.35,0.25,435.6355691,27.60007597,-0.061959348,3.088057968,-0.070020141,0.071921057,-0.002039441,0.000471178,0.647874081
2,5,84.82,0.4,0.25,506.9084409,18.40246905,-0.132254935,3.156378971,0.210362508,0.021007569,-7.54E-05,-0.000901172,0.203701241
2,6,235.62,0.4,0.25,330.8591469,14.91781985,-0.036160153,3.10310112,-0.094249723,0.025132324,-0.000950357,0.000222767,0.322985171
2,7,84.82,0.4,0.25,381.5913314,12.67583797,0.060738589,3.081708985,0.075172684,0.011134093,0.001570616,0.002411916,0.649544562
2,8,235.62,0.4,0.25,367.7195895,18.60565486,0.048327749,3.161690872,0.08921812,0.051719511,-0.002004975,0.002509369,0.617657064
2,9,117.8,0.35,0.25,344.2114251,16.54493934,-0.03269135,3.218497836,0.012504572,0.075364328,5.14E-05,-0.000243481,0.478792649
2,10,84.82,0.3,0.25,238.3878343,7.976424546,0.042214962,3.190336234,0.034521728,0.003791593,-0.000109443,0.003058485,0.159988214
