Round,Exp No,s,f,d,Mean,Std.dev,Skewness,Kurtosis
1,1,58.9,0.15,0.75,486.46,10.42,-0.04,3.00
1,2,84.82,0.2,0.5,457.55,13.59,-0.38,5.89
1,3,117.8,0.25,0.75,748.08,20.29,-0.10,3.58
1,4,84.82,0.2,0.5,409.09,12.69,0.04,2.97
1,5,117.8,0.15,0.25,205.31,6.34,0.11,3.25
1,6,58.9,0.25,0.25,242.15,6.52,0.03,2.95
1,7,58.9,0.15,0.75,550.40,11.73,0.01,2.97
1,8,117.8,0.25,0.75,789.68,23.00,-0.37,6.10
1,9,58.9,0.25,0.25,211.79,6.86,0.04,3.02
1,10,117.8,0.15,0.25,177.88,5.93,0.06,3.16
2,1,235.62,0.3,0.25,261.74,10.83,-0.49,16.34
2,2,235.62,0.3,0.25,270.34,9.53,0.12,3.18
2,3,84.82,0.3,0.25,280.56,8.45,0.05,2.99
2,4,117.8,0.35,0.25,435.64,27.60,-0.06,3.09
2,5,84.82,0.4,0.25,506.91,18.40,-0.13,3.16
2,6,235.62,0.4,0.25,330.86,14.92,-0.04,3.10
2,7,84.82,0.4,0.25,381.59,12.68,0.06,3.08
2,8,235.62,0.4,0.25,367.72,18.61,0.05,3.16
2,9,117.8,0.35,0.25,344.21,16.54,-0.03,3.22
2,10,84.82,0.3,0.25,238.39,7.98,0.04,3.19
